/,davis/presurgicalEpilepsy/rs_test/rs_test/6 - B0map_v4/files/6 - B0map_v4.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/4 - FLAIR_3D/files/4 - FLAIR_3D.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/3 - T2w_SPC/files/3 - T2w_SPC.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/10 - MULTISHELL_TOPUP_mb2/files/10 - MULTISHELL_TOPUP_mb2.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/12 - TOF_3D_multi-slab_R2_MIP_SAG/files/12 - TOF_3D_multi-slab_R2_MIP_SAG.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/13 - TOF_3D_multi-slab_R2_MIP_COR/files/13 - TOF_3D_multi-slab_R2_MIP_COR.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/2 - T1w_MPR/files/2 - T1w_MPR.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/5 - T2_2D_0.4x0.4x1.2mm_180flip/files/5 - T2_2D_0.4x0.4x1.2mm_180flip.dicom.zip,false,
/,davis/presurgicalEpilepsy/rs_test/rs_test/11 - TOF_3D_multi-slab_R2/files/11 - TOF_3D_multi-slab_R2.dicom.zip,false,
13,davis/presurgicalEpilepsy/rs_test/rs_test/9 - MULTISHELL_b2000_117dir_mb2/files/9 - MULTISHELL_b2000_117dir_mb2.dicom.zip,false,
14,davis/presurgicalEpilepsy/rs_test/rs_test/8 - HCP_restBOLD/files/8 - HCP_restBOLD.dicom.zip,false,
